FTR,PSH,PSD,PSA
H,1.58,3.93,7.5
H,1.89,3.63,4.58
A,2.5,3.46,3
A,6.41,4.02,1.62
A,3.83,3.57,2.08
H,2.43,3.22,3.33
D,2.36,3.4,3.28
A,4,3.97,1.93
H,1.27,6.35,13.25
D,1.86,3.51,4.99
D,3.25,3.12,2.54
H,1.83,3.97,4.46
H,1.89,3.56,4.71
H,2.05,3.56,3.9
H,1.28,6.29,12.44
A,2.09,3.65,3.69
H,5.37,3.56,1.81
A,2.47,3.08,3.37
H,1.1,12.39,32.7
A,7.34,5.09,1.45
H,1.38,5.52,8.77
D,2.63,3.58,2.77
D,2.34,3.1,3.68
H,1.17,8.54,21.13
A,2.45,3.34,3.18
D,12.1,6.52,1.27
H,1.97,3.47,4.4
A,5.49,4.06,1.68
H,2.61,3.33,2.96
A,2.61,3.36,2.93
D,2.24,3.45,3.47
H,1.3,6.3,10.73
A,1.95,3.5,4.47
D,1.5,4.3,8.06
A,7.5,4.96,1.45
H,1.12,10.57,27.95
A,2.58,3.44,2.91
A,5.94,3.85,1.68
A,6.35,4.54,1.55
H,5.5,4.19,1.66
H,2.43,3.46,3.13
H,1.19,7.4,18.5
A,3.25,3.23,2.48
H,1.13,10.17,20.82
A,4.2,3.83,1.92
A,3.03,3.71,2.37
A,4.18,3.65,1.97
A,2.07,3.69,3.76
H,1.74,3.65,5.82
D,2.12,3.36,3.98
A,4.99,3.93,1.76
H,2.95,3.42,2.59
A,21.06,7.97,1.18
D,2.18,3.38,3.77
D,2.48,3.49,2.92
H,1.62,3.91,6.72
H,1.2,7.42,18.51
D,1.59,4.19,6.52
H,1.49,4.93,6.88
D,5.72,4.41,1.61
H,1.5,4.85,6.75
D,2.86,3.55,2.58
H,1.76,4.05,4.82
A,8.01,4.5,1.48
H,1.1,12.59,24.79
A,2.61,3.3,3.01
H,4.53,3.78,1.87
H,1.85,3.56,5.04
A,2.63,3.13,3.14
H,2.3,3.52,3.33
H,2.72,3.3,2.87
D,2.16,3.04,4.33
A,2.99,3.21,2.65
A,2.17,3.52,3.6
H,1.46,4.54,8.56
H,1.22,6.74,15.07
A,2.15,3.59,3.58
A,5,4.33,1.69
D,2.56,3.56,2.85
A,6.02,4.13,1.63
D,2.07,3.67,3.79
H,2.51,3.46,3.02
D,1.74,3.93,5.26
A,11.49,5.36,1.33
H,1.1,11.96,32.7
A,2.22,3.21,3.9
A,4.07,3.89,1.93
A,1.76,3.68,5.47
H,1.88,3.67,4.66
H,1.56,4.36,6.51
H,3.27,3.19,2.5
A,2.95,3.75,2.42
D,2.16,3.45,3.75
H,1.11,10.86,27.28
D,2.14,3.37,3.91
H,1.76,3.74,5.37
A,10.84,4.89,1.37
D,4.56,4.26,1.76
H,1.75,3.91,5.16
A,4.76,4.24,1.74
D,3.92,3.77,2
A,3.62,3.64,2.14
A,3.85,3.37,2.16
H,1.58,4.07,7.01
H,2.78,3.25,2.85
H,1.76,3.74,5.42
A,3.13,3.36,2.49
H,1.27,6.18,11.51
H,1.11,10.68,28.68
H,2.33,3.45,3.34
H,2.61,3.19,3.11
A,4.48,3.67,1.91
D,3.46,3.33,2.33
D,1.49,4.45,7.95
H,2.89,3.43,2.62
D,2.53,3.34,3.09
D,1.68,4.14,5.41
D,1.42,5.17,7.89
H,1.11,10.9,24.65
H,1.39,5.4,8.32
D,2.89,3.25,2.74
H,1.43,4.78,8.61
H,2.68,3.45,2.82
D,1.42,4.88,8.79
H,2.87,3.5,2.6
A,6.31,4.28,1.59
A,12.46,6.58,1.25
A,3.53,3.84,2.1
A,1.51,4.16,8.2
A,2.93,3.16,2.77
H,3.76,3.32,2.22
H,1.62,3.92,6.65
A,2.5,3.06,3.42
H,2.28,3.35,3.54
H,1.11,10.98,23.72
A,2.5,3.38,3.1
D,4.3,3.52,1.99
H,2.63,3.73,2.7
H,1.18,7.92,15.58
H,1.41,5.05,8.47
H,1.7,3.82,5.82
H,2.98,3.14,2.74
A,9.74,5.98,1.31
H,1.66,4.09,5.76
A,11.09,5.9,1.29
D,1.6,3.94,6.98
D,3.06,3.51,2.45
D,2.45,3.59,3.01
H,1.38,5.11,9.52
H,4.85,3.82,1.81
H,1.27,6.13,11.66
A,5.94,4.52,1.58
H,2.87,3.15,2.84
H,2.92,3.33,2.66
H,4,3.75,1.99
A,3.94,3.55,2.07
H,1.36,5.29,9.84
H,2.29,3.43,3.45
A,3.01,3.16,2.7
D,1.77,3.93,4.99
H,2.72,3.15,2.99
A,3.03,3.59,2.44
A,2.73,3.05,3.08
H,1.22,7.01,13.26
H,1.18,7.74,18.36
H,1.63,3.99,6.37
H,2.02,3.48,4.2
A,7.64,4.37,1.51
H,1.53,4.51,6.76
H,3.87,3.9,1.98
A,6.85,4.04,1.59
H,1.23,6.4,14.96
H,1.95,3.55,4.4
A,6.27,4.1,1.62
A,1.33,5.42,11.37
A,3.08,3.11,2.68
A,1.14,9.39,21.47
D,2.03,3.58,4.06
A,2.37,3.57,3.16
A,3.27,3.47,2.35
D,5.26,3.84,1.75
A,4.51,3.5,1.95
D,1.65,3.96,6.08
D,3.25,3.3,2.45
H,9.66,5.31,1.36
H,1.16,8.26,19.61
H,1.23,6.79,13.8
H,1.37,5.18,10.01
A,5.08,3.92,1.76
A,2.28,3.56,3.32
H,3.54,3.41,2.26
H,2.09,3.32,4.16
A,1.58,4.31,6.4
H,1.5,4.93,6.59
A,1.37,5.12,9.98
D,1.81,3.78,4.9
H,3.39,3.53,2.27
A,5.17,3.87,1.76
H,1.37,5.45,8.96
A,9.96,5.8,1.33
H,1.34,5.58,9.02
A,7.19,4.45,1.5
A,2.01,3.57,4.14
D,2.63,3.54,2.81
D,1.27,6.08,12.2
A,2.17,3.18,4.08
A,5.87,4.3,1.6
D,1.99,3.62,4.14
A,2.04,3.41,4.24
H,2.06,3.87,3.61
A,9.78,5.39,1.34
H,2.39,3.26,3.36
D,2.26,3.23,3.71
H,1.22,6.67,15.97
A,2.27,3.44,3.44
A,1.93,3.59,4.43
H,3.53,3.85,2.1
H,1.76,4,4.91
A,2.07,3.7,3.75
H,1.19,7.47,16.79
H,3.09,3.65,2.37
H,2.34,3.71,3.08
H,1.19,7.45,16.08
H,1.32,5.62,10.92
H,1.97,3.39,4.53
H,2.76,3.41,2.73
D,1.64,4.15,5.72
H,2.38,3.21,3.48
A,5.49,3.69,1.74
A,21.51,8.28,1.15
H,1.22,6.92,13.58
H,2.42,3.23,3.35
A,4.06,3.31,2.11
D,1.29,5.73,11.91
H,14.57,7.67,1.2
H,2.1,3.49,3.84
H,5.55,4.26,1.64
D,1.24,6.55,13.11
D,2.39,3.38,3.25
H,1.65,3.98,5.9
D,2.65,3.27,2.95
D,2.59,3.43,2.91
H,3.31,3.48,2.33
H,1.22,6.93,14.33
H,2.05,3.59,3.9
A,2.44,3.33,3.21
H,1.43,4.47,9.35
A,3.84,3.37,2.17
H,1.32,6.24,9.06
D,7.52,5.27,1.41
A,9.59,5.84,1.33
A,2.06,3.41,4.14
D,2.13,3.46,3.77
A,5.57,4.36,1.63
A,5.69,4.24,1.63
H,1.2,7.34,15.64
A,1.78,3.77,5.06
H,2.41,3.35,3.24
H,1.51,4.63,6.91
H,1.72,3.76,5.7
D,1.69,3.82,5.96
A,3.08,3.36,2.5
H,1.96,3.72,4.09
D,2.88,3.31,2.69
H,5.52,3.81,1.73
A,2.24,3.35,3.66
H,1.85,3.43,5.22
H,1.53,4.47,6.58
D,3.16,3.63,2.35
A,3.85,3.38,2.14
H,5.17,3.41,1.86
H,1.95,3.45,4.53
H,2.15,3.33,3.89
H,1.46,4.85,7.4
H,2.3,3.48,3.38
A,3.25,3.43,2.36
H,1.29,5.66,11.94
H,1.16,8.38,17.97
H,1.93,3.66,4.33
A,11.74,7.23,1.23
H,1.83,3.5,5.24
A,2.9,3.32,2.67
H,1.45,4.61,8.37
D,2.05,3.75,3.78
H,2.1,3.56,3.81
H,1.51,4.37,7.46
D,5.69,4.05,1.67
A,6.49,4.68,1.53
H,2.5,3.45,3.04
H,3.58,3.43,2.21
A,1.88,3.52,4.85
A,3.53,3.27,2.31
H,1.6,4.41,5.73
H,1.15,8.79,19.09
H,2.85,3.21,2.78
H,4.34,3.78,1.89
H,2.45,3.55,3.04
D,1.59,4.04,6.93
H,1.17,7.8,18.87
D,2.13,3.45,3.79
A,3.16,3.43,2.41
H,1.58,4.09,6.7
H,4.12,3.64,1.99
A,11.68,6.34,1.27
A,2.6,3.14,3.13
H,3.21,3.23,2.5
H,1.47,4.35,8.4
A,21.02,9.55,1.13
H,1.84,3.88,4.51
H,1.45,4.85,7.5
A,2.6,3.41,2.93
A,8.23,4.64,1.46
H,1.63,4.17,5.9
H,1.39,5.29,8.57
H,1.76,3.86,5.06
H,3.98,3.6,2.02
H,1.27,5.71,15.03
H,1.07,14.96,42.94
H,1.47,4.67,7.45
A,8.91,5.15,1.39
A,2.09,3.64,3.75
A,5.22,3.86,1.75
A,2.61,3.2,3.1
H,3.01,3.67,2.41
H,1.32,5.82,10.48
A,1.66,3.87,6.18
A,2.32,3.29,3.49
H,1.9,3.63,4.48
H,4.64,4.01,1.79
H,1.42,5.02,8.33
H,2.64,3.22,3.02
H,1.21,7.08,14.67
A,10.23,5.55,1.34
H,1.68,4.12,5.46
A,3.18,3.78,2.25
A,2.01,3.27,4.53
A,1.68,4.32,5.05
A,4.34,3.81,1.87
H,1.29,6.44,10.31
H,2.59,3.1,3.24
D,3.21,3.5,2.35
D,1.77,3.5,5.79
A,1.56,4.55,6.23
A,14.96,7.07,1.21
H,3.23,3.55,2.34
D,1.25,6.33,13.71
H,1.29,5.63,12.65
D,2.29,3.49,3.35
A,6.94,4.85,1.49
H,2.95,3.47,2.54
H,1.08,13.99,30.97
D,2.35,3.18,3.6
D,2.63,3.45,2.84
H,2.4,3.71,2.95
D,1.92,3.86,4.1
A,1.44,5.17,7.4
A,2.64,3.32,2.93
A,19.41,8.84,1.15
H,2.68,3.77,2.61
D,2.73,3.43,2.77
H,1.68,3.91,5.73
H,4.06,3.9,1.92
A,2.62,3.75,2.68
A,9.92,5.04,1.36
H,2.33,3.72,3.09
H,1.56,4.16,6.69
D,1.43,4.72,8.49
H,1.39,5.14,8.58
D,9.23,5.56,1.34
H,1.17,8.35,17.14
A,15.63,8.17,1.18
A,3.15,3.8,2.25
H,1.88,4.14,3.95
A,2.55,3.57,2.83
D,2.44,3.65,2.93
H,1.31,5.77,10.54
A,1.28,6.33,10.21
D,1.44,4.83,7.62
D,2.1,3.64,3.64
A,2.2,3.85,3.21
